MediumMagboltz::LoadGasFile: Reading Ar-iC4H10(90-10).gas.
MediumMagboltz::LoadGasFile: Version 12
MediumMagboltz::LoadGasFile:
    Gas composition set to Ar/iC4H10 (90/10)
E = 800V/cm,  Vx = -4.23296cm/us, to drift 20cm, t = -4.72482us, 0,1V/cm fluctuation, dt = -0.133346ns, 1V/cm fluctuation, dt = -1.33399ns, %1 fluctuation, dt = -10.705ns, %10 fluctuation, dt = -111.577ns
E = 850V/cm,  Vx = -4.17197cm/us, to drift 20cm, t = -4.79389us, 0,1V/cm fluctuation, dt = -0.141595ns, 1V/cm fluctuation, dt = -1.41606ns, %1 fluctuation, dt = -12.0444ns, %10 fluctuation, dt = -114.196ns
E = 900V/cm,  Vx = -4.11193cm/us, to drift 20cm, t = -4.86389us, 0,1V/cm fluctuation, dt = -0.134705ns, 1V/cm fluctuation, dt = -1.34581ns, %1 fluctuation, dt = -12.0121ns, %10 fluctuation, dt = -107.044ns
E = 950V/cm,  Vx = -4.06096cm/us, to drift 20cm, t = -4.92495us, 0,1V/cm fluctuation, dt = -0.111874ns, 1V/cm fluctuation, dt = -1.11842ns, %1 fluctuation, dt = -10.5968ns, %10 fluctuation, dt = -117.128ns
E = 1000V/cm,  Vx = -4.01294cm/us, to drift 20cm, t = -4.98387us, 0,1V/cm fluctuation, dt = -0.129568ns, 1V/cm fluctuation, dt = -1.29585ns, %1 fluctuation, dt = -12.9751ns, %10 fluctuation, dt = -120.256ns
E = 1500V/cm,  Vx = -3.69009cm/us, to drift 20cm, t = -5.41992us, 0,1V/cm fluctuation, dt = -0.0469979ns, 1V/cm fluctuation, dt = -0.46954ns, %1 fluctuation, dt = -6.94036ns, %10 fluctuation, dt = -77.6987ns
E = 2000V/cm,  Vx = -3.56588cm/us, to drift 20cm, t = -5.60871us, 0,1V/cm fluctuation, dt = -0.0280458ns, 1V/cm fluctuation, dt = -0.280327ns, %1 fluctuation, dt = -5.55099ns, %10 fluctuation, dt = -38.7883ns
E = 2500V/cm,  Vx = -3.51747cm/us, to drift 20cm, t = -5.6859us, 0,1V/cm fluctuation, dt = -0.00203415ns, 1V/cm fluctuation, dt = -0.0205599ns, %1 fluctuation, dt = -0.65962ns, %10 fluctuation, dt = -17.6812ns
E = 3000V/cm,  Vx = -3.49487cm/us, to drift 20cm, t = -5.72268us, 0,1V/cm fluctuation, dt = -0.00168541ns, 1V/cm fluctuation, dt = -0.016773ns, %1 fluctuation, dt = -0.424778ns, %10 fluctuation, dt = -4.6449ns
E = 3500V/cm,  Vx = -3.48536cm/us, to drift 20cm, t = -5.7383us, 0,1V/cm fluctuation, dt = -0.0022549ns, 1V/cm fluctuation, dt = -0.0223775ns, %1 fluctuation, dt = 1.9878ns, %10 fluctuation, dt = 22.044ns
E = 4000V/cm,  Vx = -3.49293cm/us, to drift 20cm, t = -5.72586us, 0,1V/cm fluctuation, dt = -0.00240386ns, 1V/cm fluctuation, dt = -0.0239664ns, %1 fluctuation, dt = -0.833478ns, %10 fluctuation, dt = 0.20519ns
E = 4500V/cm,  Vx = -3.49937cm/us, to drift 20cm, t = -5.71532us, 0,1V/cm fluctuation, dt = 0.0135657ns, 1V/cm fluctuation, dt = 0.135634ns, %1 fluctuation, dt = 6.05272ns, %10 fluctuation, dt = 22.2701ns
E = 5000V/cm,  Vx = -3.51338cm/us, to drift 20cm, t = -5.69252us, 0,1V/cm fluctuation, dt = 0.00803487ns, 1V/cm fluctuation, dt = 0.0804338ns, %1 fluctuation, dt = 4.25292ns, %10 fluctuation, dt = 51.9002ns
E = 5500V/cm,  Vx = -3.54571cm/us, to drift 20cm, t = -5.64062us, 0,1V/cm fluctuation, dt = 0.00795253ns, 1V/cm fluctuation, dt = 0.0794412ns, %1 fluctuation, dt = 4.09194ns, %10 fluctuation, dt = 17.3223ns
E = 6000V/cm,  Vx = -3.55222cm/us, to drift 20cm, t = -5.63028us, 0,1V/cm fluctuation, dt = 0.0134445ns, 1V/cm fluctuation, dt = 0.134541ns, %1 fluctuation, dt = 8.44943ns, %10 fluctuation, dt = 88.2608ns
E = 6500V/cm,  Vx = -3.6003cm/us, to drift 20cm, t = -5.55508us, 0,1V/cm fluctuation, dt = 0.0130982ns, 1V/cm fluctuation, dt = 0.130979ns, %1 fluctuation, dt = 8.49863ns, %10 fluctuation, dt = 96.8698ns
E = 7000V/cm,  Vx = -3.64739cm/us, to drift 20cm, t = -5.48338us, 0,1V/cm fluctuation, dt = 0.0161882ns, 1V/cm fluctuation, dt = 0.161914ns, %1 fluctuation, dt = 11.4948ns, %10 fluctuation, dt = 143.518ns
E = 7500V/cm,  Vx = -3.71108cm/us, to drift 20cm, t = -5.38926us, 0,1V/cm fluctuation, dt = 0.0248686ns, 1V/cm fluctuation, dt = 0.248679ns, %1 fluctuation, dt = 18.6043ns, %10 fluctuation, dt = 163.204ns
E = 8000V/cm,  Vx = -3.79443cm/us, to drift 20cm, t = -5.27088us, 0,1V/cm fluctuation, dt = 0.0185279ns, 1V/cm fluctuation, dt = 0.185257ns, %1 fluctuation, dt = 14.668ns, %10 fluctuation, dt = 149.151ns
E = 8500V/cm,  Vx = -3.86003cm/us, to drift 20cm, t = -5.1813us, 0,1V/cm fluctuation, dt = 0.0194449ns, 1V/cm fluctuation, dt = 0.194462ns, %1 fluctuation, dt = 16.6293ns, %10 fluctuation, dt = 171.526ns
E = 9000V/cm,  Vx = -3.93579cm/us, to drift 20cm, t = -5.08157us, 0,1V/cm fluctuation, dt = 0.0199171ns, 1V/cm fluctuation, dt = 0.199187ns, %1 fluctuation, dt = 18.0668ns, %10 fluctuation, dt = 197.174ns
E = 9500V/cm,  Vx = -4.01818cm/us, to drift 20cm, t = -4.97738us, 0,1V/cm fluctuation, dt = 0.0222724ns, 1V/cm fluctuation, dt = 0.222747ns, %1 fluctuation, dt = 21.3854ns, %10 fluctuation, dt = 217.433ns
MediumMagboltz::LoadGasFile: Reading Ar-iC4H10(91-9).gas.
MediumMagboltz::LoadGasFile: Version 12
MediumMagboltz::LoadGasFile:
    Gas composition set to Ar/iC4H10 (91/9)
E = 10V/cm,  Vx = -0.19484cm/us, to drift 20cm, t = -102.648us, 0,1V/cm fluctuation, dt = 1403.48ns, 1V/cm fluctuation, dt = 9717.26ns, %1 fluctuation, dt = 1403.48ns, %10 fluctuation, dt = 9717.26ns
E = 20V/cm,  Vx = -0.402174cm/us, to drift 20cm, t = -49.7297us, 0,1V/cm fluctuation, dt = 283.053ns, 1V/cm fluctuation, dt = 3164.87ns, %1 fluctuation, dt = 621.245ns, %10 fluctuation, dt = 5418.5ns
E = 30V/cm,  Vx = -0.643262cm/us, to drift 20cm, t = -31.0915us, 0,1V/cm fluctuation, dt = 118.373ns, 1V/cm fluctuation, dt = 1208.97ns, %1 fluctuation, dt = 365.801ns, %10 fluctuation, dt = 3294.78ns
E = 40V/cm,  Vx = -0.911604cm/us, to drift 20cm, t = -21.9394us, 0,1V/cm fluctuation, dt = 73.8756ns, 1V/cm fluctuation, dt = 672.91ns, %1 fluctuation, dt = 285.414ns, %10 fluctuation, dt = 2392.54ns
E = 50V/cm,  Vx = -1.20679cm/us, to drift 20cm, t = -16.5729us, 0,1V/cm fluctuation, dt = 39.1303ns, 1V/cm fluctuation, dt = 376.097ns, %1 fluctuation, dt = 192.66ns, %10 fluctuation, dt = 1732.92ns
